proteinID	geneSymbol	ifConvertable
anti-c-Met	MET	T
B7-H4	VTCN1	T
CD10	MME	T
CD101.1	CD101	T
CD103	ITGAE	T
CD106	VCAM1	T
CD107a	LAMP1	T
CD112	NECTIN2	T
CD117	KIT	T
CD11a	ITGAL	T
CD11b	ITGAM	T
CD11c	ITGAX	T
CD122	IL2RB	T
CD123	IL3RA	T
CD124	IL4R	T
CD127	IL6R	T
CD133	IL7R	T
CD137	TNFRSF9	T
CD137L	TNFSF9	T
CD138	SDC1	T
CD14.1	CD14	T
CD141	THBD	T
CD144	CDH5	T
CD146	MCAM	T
CD15	FUT4	T
CD150	SLAMF1	T
CD152	CTLA4	T
CD154	CD40LG	T
CD155	PVR	T
CD158	KIR2DL1	T
CD158b	KIR2DL2	T
CD158e1	KIR3DL1	T
CD158f	KIR2DL5A	T
CD158f	KIR2DL5B	T
CD16	FCGR3A	T
CD161	KLRB1	T
CD163.1	CD163	T
CD169	SIGLEC1	T
CD178	FASLG	T
CD18	ITGB2	T
CD183	CXCR3	T
CD184	CXCR4	T
CD185	CXCR5	T
CD19.1	CD19	T
CD193	CCR3	T
CD194	CCR4	T
CD195	CCR5	T
CD196	CCR6	T
CD197	CCR7	T
CD1a	CD1A	T
CD1c	CD1C	T
CD1d	CD1D	T
CD2.1	CD2	T
CD20	MS4A1	T
CD204	MSR1	T
CD206	MRC1	T
CD207.1	CD207	T
CD209.1	CD209	T
CD21	CR2	T
CD22.1	CD22	T
CD223	LAG3	T
CD224	GGT1	T
CD226.1	CD226	T
CD23	FCER2	T
CD235ab	GYPB	T
CD24.1	CD24	T
CD244.1	CD244	T
CD25	IL2RA	T
CD252	TNFSF4	T
CD254	TNFSF11	T
CD257	TNFSF13B	T
CD258	TNFSF14	T
CD26	DPP4	T
CD267	TNFRSF13B	T
CD268	TNFRSF13C	T
CD269	TNFRSF17	T
CD27.1	CD27	T
CD272	BTLA	T
CD273	PDCD1LG2	T
CD274.1	CD274	T
CD275	ICOSLG	T
CD278	ICOS	T
CD279	PDCD1	T
CD28.1	CD28	T
CD29	ITGB1	T
CD294	PTGDR2	T
CD3	CD3D	T
CD3	CD3E	T
CD3	CD3G	T
CD30	TNFRSF8	T
CD303	CLEC4C	T
CD304	NRP1	T
CD305	LAIR1	T
CD307d	FCRL4	T
CD307e	FCRL5	T
CD309	KDR	T
CD31	PECAM1	T
CD314	KLRK1	T
CD319	SLAMF7	T
CD32	FCGR2A	T
CD324	CDH1	T
CD326	EPCAM	T
CD328	SIGLEC7	T
CD33.1	CD33	T
CD335	NCR1	T
CD336	NCR2	T
